wet_temp,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
8.563605945,FRA,France,FRA.4_1,Centre-Val de Loire,Region
18.77374111,SVK,Slovakia,SVK.7_1,Trnavský,Region
20.85686998,RUS,Russia,RUS.5_1,Astrakhan',Region
16.1543627,AUT,Austria,AUT.4_1,Oberösterreich,State
18.91505558,SVK,Slovakia,SVK.2_1,Bratislavský,Region
18.12271103,SVK,Slovakia,SVK.4_1,Nitriansky,Region
15.83150008,UKR,Ukraine,UKR.3_1,Chernivtsi,Region
6.492668973,FRA,France,FRA.12_1,Pays de la Loire,Region
18.70162899,HUN,Hungary,HUN.4_1,Borsod-Abaúj-Zemplén,County
17.03381996,MDA,Moldova,MDA.5_1,Briceni,District
17.10625028,MDA,Moldova,MDA.25_1,Ocniţa,District
16.4130955,RUS,Russia,RUS.56_1,Primor'ye,Territory
16.21735603,USA,United States,USA.23_1,Michigan,State
9.311161392,FRA,France,FRA.2_1,Bourgogne-Franche-Comté,Region
18.0074005,AUT,Austria,AUT.9_1,Wien,State
18.34298012,HUN,Hungary,HUN.16_1,Szabolcs-Szatmár-Bereg,County
17.27780023,MDA,Moldova,MDA.13_1,Donduseni,District
17.46633337,MDA,Moldova,MDA.31_1,Soroca,District
17.58542996,HUN,Hungary,HUN.13_1,Nógrád,County
18.23121274,HUN,Hungary,HUN.10_1,Heves,County
18.32586012,ROU,Romania,ROU.34_1,Satu Mare,County
17.87253799,ROU,Romania,ROU.7_1,Botoșani,County
17.5603002,MDA,Moldova,MDA.16_1,Edineţ,District
17.65046004,MDA,Moldova,MDA.28_1,Rîşcani,District
17.57839968,MDA,Moldova,MDA.14_1,Drochia,District
17.80663333,MDA,Moldova,MDA.18_1,Floreşti,District
18.31623126,MDA,Moldova,MDA.36_1,Transnistria,Territorial Unit
18.50908778,UKR,Ukraine,UKR.17_1,Odessa,Region
19.49191378,UKR,Ukraine,UKR.16_1,Mykolayiv,Region
18.77977589,UKR,Ukraine,UKR.26_1,Zaporizhzhya,Region
21.38509214,RUS,Russia,RUS.22_1,Kalmyk,Republic
15.54850567,MNG,Mongolia,MNG.21_1,Ulaanbaatar,Municipality
4.493066967,CAN,Canada,CAN.4_1,New Brunswick,Province
11.78528193,AUT,Austria,AUT.5_1,Salzburg,State
18.1659703,AUT,Austria,AUT.1_1,Burgenland,State
19.34172945,HUN,Hungary,HUN.8_1,Gyor-Moson-Sopron,County
18.47045759,HUN,Hungary,HUN.14_1,Pest,County
18.88062302,HUN,Hungary,HUN.9_1,Hajdú-Bihar,County
14.51118614,ROU,Romania,ROU.27_1,Maramureș,County
14.77867572,ROU,Romania,ROU.36_1,Suceava,County
18.22289973,MDA,Moldova,MDA.30_1,Şoldăneşti,District
16.2623005,CHE,Switzerland,CHE.17_1,Schaffhausen,Canton
14.42128587,AUT,Austria,AUT.6_1,Steiermark,State
18.78420814,HUN,Hungary,HUN.12_1,Komárom-Esztergom,County
18.00282528,MDA,Moldova,MDA.20_1,Glodeni,District
17.7493992,MDA,Moldova,MDA.2_1,Bălţi,City
17.80515003,MDA,Moldova,MDA.29_1,Sîngerei,District
18.2751999,MDA,Moldova,MDA.27_1,Rezina,District
5.437709106,KAZ,Kazakhstan,KAZ.11_1,Qyzylorda,Region
17.35648289,MNG,Mongolia,MNG.10_1,Govi-Altay,Province
18.29194187,MNG,Mongolia,MNG.19_1,Sühbaatar,Province
13.44338743,CHE,Switzerland,CHE.1_1,Aargau,Canton
17.34933735,CHE,Switzerland,CHE.26_1,Zürich,Canton
17.34510004,CHE,Switzerland,CHE.20_1,Thurgau,Canton
10.80208613,AUT,Austria,AUT.7_1,Tirol,State
19.25665,HUN,Hungary,HUN.5_1,Budapest,Capital City
19.29228322,HUN,Hungary,HUN.11_1,Jász-Nagykun-Szolnok,County
14.78009505,ROU,Romania,ROU.6_1,Bistrița-Năsăud,County
18.1475253,MDA,Moldova,MDA.17_1,Făleşti,District
18.21675015,MDA,Moldova,MDA.35_1,Teleneşti,District
18.35602523,MDA,Moldova,MDA.26_1,Orhei,District
16.45277702,MNG,Mongolia,MNG.3_1,Bayanhongor,Province
9.33273006,USA,United States,USA.20_1,Maine,State
14.46134995,CHE,Switzerland,CHE.11_1,Jura,Canton
14.72653357,CHE,Switzerland,CHE.4_1,Basel-Landschaft,Canton
14.38024995,CHE,Switzerland,CHE.19_1,Solothurn,Canton
14.53166677,CHE,Switzerland,CHE.16_1,Sankt Gallen,Canton
17.1282997,CHE,Switzerland,CHE.2_1,Appenzell Ausserrhoden,Canton
12.35380636,AUT,Austria,AUT.8_1,Vorarlberg,State
18.94851566,HUN,Hungary,HUN.18_1,Vas,County
19.3150158,HUN,Hungary,HUN.19_1,Veszprém,County
19.07832931,HUN,Hungary,HUN.7_1,Fejér,County
17.05559358,ROU,Romania,ROU.5_1,Bihor,County
17.02319992,ROU,Romania,ROU.33_1,Sălaj,County
18.18901238,ROU,Romania,ROU.24_1,Iași,County
18.05231635,MDA,Moldova,MDA.37_1,Ungheni,District
17.73064993,MDA,Moldova,MDA.7_1,Calarasi,District
18.3642502,MDA,Moldova,MDA.15_1,Dubăsari,District
19.20680957,UKR,Ukraine,UKR.9_1,Kherson,Region
18.5631678,USA,United States,USA.50_1,Wisconsin,State
11.30291029,CHE,Switzerland,CHE.6_1,Bern,Canton
