temp_difference,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
7.8641931,KHM,Cambodia,KHM.19_1,Prey Vêng,Province
7.854280838,VNM,Vietnam,VNM.53_1,Tây Ninh,Province
7.224074433,PHL,Philippines,PHL.6_1,Antique,Province
6.6444074,PHL,Philippines,PHL.4_1,Aklan,Province
7.0201559,NIC,Nicaragua,NIC.18_1,Rivas,Department
10.67340007,GNB,Guinea-Bissau,GNB.4_1,Bolama,Region
12.04374271,GNB,Guinea-Bissau,GNB.9_1,Tombali,Region
7.5206151,DJI,Djibouti,DJI.3_1,Djibouti,City
7.5078702,KHM,Cambodia,KHM.16_1,Phnom Penh,Municipality
8.0315112,KHM,Cambodia,KHM.23_1,Svay Rieng,Province
7.028079989,PHL,Philippines,PHL.22_1,Capiz,Province
7.2800798,PHL,Philippines,PHL.14_1,Biliran,Province
12.15040316,BEN,Benin,BEN.2_1,Atakora,Department
11.79017537,NGA,Nigeria,NGA.19_1,Kaduna,State
8.917907014,DJI,Djibouti,DJI.1_1,Ali Sabieh,Region
10.42605888,SOM,Somalia,SOM.1_1,Awdal,Region
7.40250402,VNM,Vietnam,VNM.9_1,Bình Dương,Province
7.340633327,VNM,Vietnam,VNM.17_1,Đồng Nai,Province
7.678369175,VNM,Vietnam,VNM.11_1,Bình Thuận,Province
7.448413571,PHL,Philippines,PHL.36_1,Iloilo,Province
7.047559424,PHL,Philippines,PHL.43_1,Leyte,Province
10.63977043,COL,Colombia,COL.19_1,Magdalena,Department
6.4197998,TTO,Trinidad and Tobago,TTO.14_1,Tobago,Region
11.17689299,GIN,Guinea,GIN.5_1,Kindia,Region
12.56969632,GIN,Guinea,GIN.7_1,Mamou,Region
11.48648697,BFA,Burkina Faso,BFA.13_1,Sud-Ouest,Region
11.77173438,NGA,Nigeria,NGA.27_1,Niger,State
13.24743591,NGA,Nigeria,NGA.16_1,Gombe,State
11.83438095,SOM,Somalia,SOM.13_1,Sanaag,Region
7.411597864,KHM,Cambodia,KHM.24_1,Takêv,Province
8.03610522,PHL,Philippines,PHL.25_1,Cebu,Province
10.00694664,CRI,Costa Rica,CRI.3_1,Guanacaste,Province
7.943125125,VEN,Venezuela,VEN.18_1,Nueva Esparta,State
12.20887147,GHA,Ghana,GHA.7_1,Upper East,Region
12.10780747,TGO,Togo,TGO.5_1,Savanes,Region
13.34439635,TCD,Chad,TCD.14_1,Mayo-Kebbi Est,Region
7.453444554,KHM,Cambodia,KHM.7_1,Kâmpôt,Province
8.810723236,CRI,Costa Rica,CRI.1_1,Alajuela,Province
9.607313636,COL,Colombia,COL.4_1,Atlántico,Department
8.7441902,VEN,Venezuela,VEN.10_1,Dependencias Federales,State
10.50798219,BFA,Burkina Faso,BFA.2_1,Cascades,Region
11.83630001,GHA,Ghana,GHA.8_1,Upper West,Region
15.31818343,CAF,Central African Republic,CAF.17_1,Vakaga,Prefecture
12.47437924,ETH,Ethiopia,ETH.9_1,Somali,State
8.361930024,THA,Thailand,THA.13_1,Chumphon,Province
7.58591404,KHM,Cambodia,KHM.13_1,Krong Preah Sihanouk,Municipality
6.868942144,VNM,Vietnam,VNM.1_1,An Giang,Province
7.070200011,VNM,Vietnam,VNM.18_1,Đồng Tháp,Province
7.309117821,VNM,Vietnam,VNM.39_1,Long An,Province
6.9315567,VNM,Vietnam,VNM.25_1,Hồ Chí Minh,City
8.444136126,PHL,Philippines,PHL.51_1,Negros Occidental,Province
8.361842322,CRI,Costa Rica,CRI.4_1,Heredia,Province
8.608275383,CRI,Costa Rica,CRI.5_1,Limón,Province
10.4014594,COL,Colombia,COL.11_1,Cesar,Department
9.075757877,VEN,Venezuela,VEN.14_1,Lara,State
9.497940876,VEN,Venezuela,VEN.24_1,Yaracuy,State
7.4391499,TTO,Trinidad and Tobago,TTO.11_1,San Juan-Laventille,Region
7.51513985,TTO,Trinidad and Tobago,TTO.15_1,Tunapuna/Piarco,Region
7.1201501,TTO,Trinidad and Tobago,TTO.12_1,Sangre Grande,Region
12.49038726,NGA,Nigeria,NGA.2_1,Adamawa,State
11.9452286,SOM,Somalia,SOM.18_1,Woqooyi Galbeed,Region
7.054306583,VNM,Vietnam,VNM.7_1,Bà Rịa - Vũng Tàu,Province
9.932946364,COL,Colombia,COL.5_1,Bolívar,Department
10.16286927,VEN,Venezuela,VEN.7_1,Carabobo,State
8.94660624,VEN,Venezuela,VEN.23_1,Vargas,State
9.75980755,VEN,Venezuela,VEN.16_1,Miranda,State
9.908842403,VEN,Venezuela,VEN.20_1,Sucre,State
7.635130067,TTO,Trinidad and Tobago,TTO.3_1,Couva-Tabaquite-Talparo,Region
11.0548496,CIV,Côte d'Ivoire,CIV.10_1,Savanes,District
11.24516233,GHA,Ghana,GHA.6_1,Northern,Region
11.89281219,BEN,Benin,BEN.4_1,Borgou,Department
8.442830075,THA,Thailand,THA.51_1,Ranong,Province
7.077981471,VNM,Vietnam,VNM.58_1,Tiền Giang,Province
7.68611,PHL,Philippines,PHL.32_1,Guimaras,Province
10.51894724,VEN,Venezuela,VEN.4_1,Aragua,State
7.2715001,TTO,Trinidad and Tobago,TTO.5_1,Mayaro/Rio Claro,Region
12.87417119,CIV,Côte d'Ivoire,CIV.4_1,Denguélé,District
13.82616142,TCD,Chad,TCD.16_1,Moyen-Chari,Region
6.816927059,VNM,Vietnam,VNM.33_1,Kiên Giang,Province
6.618814925,PHL,Philippines,PHL.71_1,Southern Leyte,Province
10.26193757,CRI,Costa Rica,CRI.6_1,Puntarenas,Province
10.52551635,VEN,Venezuela,VEN.2_1,Anzoátegui,State
