State_Code,State_Name,State_Type,Country_Code,Country_Name,Alt,Rain,pH,Temp_Min,Temp_Max,Texture,Fertility,Cycle
LAO.14_1,Vientiane,Province,LAO,Laos,469.2972973,1940.378378,5.1,21.161187385,31.587909755000002,light,moderate,269
LAO.16_1,Xaisômboun,Special Region|Zone,LAO,Laos,885.9166667,2047.583333,5.1,19.7490478755,29.0787853045,light,moderate,269
DOM.26_1,San Juan,Province,DOM,Dominican Republic,850.5555556,1202.888889,4.9,17.092388800000002,28.49103314,heavy,moderate,299
DOM.18_1,Monte Plata,Province,DOM,Dominican Republic,144.5,2044.625,6.9,21.120793815,31.672806265,medium,moderate,329
DOM.9_1,Hato Mayor,Province,DOM,Dominican Republic,127.8,1855.4,6.4,21.11233256,31.508908480000002,light,moderate,364
MEX.17_1,Morelos,State,MEX,Mexico,1358.428571,956.6428571,6.3,15.211614244999998,31.293457134999997,light,moderate,209
HTI.8_1,Ouest,Department,HTI,Haiti,516.0,1326.466667,5.7,19.242323365,30.292889855000002,light,moderate,299
DOM.11_1,La Altagracia,Province,DOM,Dominican Republic,71.44444444,1330.0,4.9,22.1371830845,31.1540164955,heavy,moderate,299
MRT.13_1,Trarza,Region,MRT,Mauritania,38.29577465,112.9201878,6.766666666666666,23.714364055,37.706187065,light,moderate,0.0
MLI.2_1,Gao,Region,MLI,Mali,326.3712121,167.3844697,6.640816326530612,24.271011615,39.055646265,light,moderate,0.0
YEM.12_1,Hadramawt,Governorate,YEM,Yemen,767.21611,75.1453831,8.046153846153846,19.52885161,30.639826590000002,light,high,0.0
IND.2_1,Andhra Pradesh,State,IND,India,265.4309623,863.4832636,6.8500000000000005,22.4249049345,32.4005261055,light,moderate,179
LAO.3_1,Bolikhamxai,Province,LAO,Laos,584.1702128,2316.191489,5.1000000000000005,21.458504259,29.762214621,light,moderate,299
PHL.18_1,Cagayan,Province,PHL,Philippines,220.4615385,2106.346154,5.166666666666667,20.81542949,28.964877989999998,light,moderate,329
MEX.12_1,Guerrero,State,MEX,Mexico,990.5459184,1207.428571,6.922222222222223,17.759826699999998,31.03779994,light,moderate,209
YEM.7_1,Al Mahrah,Governorate,YEM,Yemen,622.0351759,74.29145729,8.110526315789475,18.826697995,29.793203445,light,high,0.0
THA.47_1,Phrae,Province,THA,Thailand,341.4210526,1087.526316,5.1,20.842123400000002,32.319202340000004,light,moderate,239
VNM.29_1,Hà Tĩnh,Province,VNM,Vietnam,159.85,2182.65,5.1,22.2310456025,28.9522441375,light,moderate,364
