GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN,pH
ESH,Western Sahara,ESH.2_1,Es Semara,Province,56.53888888888888,19.75555555555555,23.705555555555552,0.783888888888889,10.166666666666666,6.9611111111111095
LBY,Libya,LBY.21_1,Wadi al Hayat,District,55.02,20.119999999999997,24.86,0.7140000000000001,9.8,7.340000000000001
EGY,Egypt,EGY.14_1,Al Wadi al Jadid,Governorate,54.40416666666667,22.86145833333333,22.769791666666674,0.3251041666666667,8.114583333333334,7.797916666666668
EGY,Egypt,EGY.27_1,Suhaj,Governorate,63.5,17.9,18.7,0.26,8.0,8.0
SAU,Saudi Arabia,SAU.5_1,Al Madinah,Region,58.246153846153845,17.184615384615388,24.569230769230767,0.9184615384615383,10.76923076923077,7.061538461538462
SAU,Saudi Arabia,SAU.6_1,Al Quassim,Region,54.76666666666666,25.625,19.616666666666664,0.4116666666666666,8.75,6.966666666666666
SAU,Saudi Arabia,SAU.7_1,Ar Riyad,Region,59.287234042553195,21.011702127659575,19.74255319148936,0.44308510638297854,8.957446808510639,7.441489361702128
IND,India,IND.5_1,Bihar,State,58.91538461538461,22.315384615384612,18.807692307692307,0.6996153846153846,10.923076923076923,6.996153846153846
IND,India,IND.36_1,West Bengal,State,58.4375,19.504166666666666,22.099999999999998,1.0054166666666666,11.208333333333334,6.433333333333334
BTN,Bhutan,BTN.5_1,Haa,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.3_1,Dagana,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.17_1,Tsirang,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.20_1,Zhemgang,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.7_1,Monggar,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.11_1,Samdrupjongkhar,District,53.6,15.8,30.6,2.25,14.0,5.1
MMR,Myanmar,MMR.12_1,Sagaing,Division,54.68214285714286,15.474999999999998,29.83928571428572,2.0485714285714285,13.0,5.360714285714286
MEX,Mexico,MEX.25_1,Sinaloa,State,62.95714285714285,16.39285714285714,20.692857142857143,0.802857142857143,9.857142857142858,6.742857142857143
MEX,Mexico,MEX.10_1,Durango,State,52.768571428571434,25.75714285714286,21.485714285714284,1.1917142857142855,11.571428571428571,6.917142857142858
MRT,Mauritania,MRT.12_1,Tiris Zemmour,Region,58.96379310344826,16.61551724137931,24.424137931034487,0.9149999999999999,10.775862068965518,7.1051724137931025
LBY,Libya,LBY.16_1,Murzuq,District,52.332692307692305,23.81153846153846,23.87115384615385,0.3807692307692308,8.288461538461538,7.688461538461539
LBY,Libya,LBY.6_1,Al Kufrah,District,53.38125,23.3625,23.28125000000001,0.35250000000000004,8.1875,7.737500000000002
IND,India,IND.19_1,Madhya Pradesh,State,32.71428571428572,22.154761904761905,45.073809523809516,0.7436904761904761,13.869047619047619,7.414285714285713
IND,India,IND.24_1,Nagaland,State,53.6,15.8,30.6,2.25,14.0,5.1
ESH,Western Sahara,ESH.1_1,Boujdour,Province,51.81999999999999,26.01,22.18,0.34199999999999997,8.2,7.160000000000001
EGY,Egypt,EGY.25_1,Qina,Governorate,52.46666666666667,24.099999999999998,23.46666666666667,0.8633333333333333,10.666666666666666,7.3999999999999995
BGD,Bangladesh,BGD.6_1,Rangpur,Division,41.519999999999996,23.76,34.720000000000006,1.254,11.4,6.5
IND,India,IND.22_1,Meghalaya,State,48.699999999999996,16.400000000000002,34.93333333333333,2.0233333333333334,13.666666666666666,5.133333333333334
