,GID_0,NAME_0,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN
MDG.1_1,MDG,Madagascar,Antananarivo,Autonomous Province,36.28125,16.40625,47.29375,1.8668749999999998,10.875
BOL.1_1,BOL,Bolivia,Chuquisaca,Department,63.55384615384614,13.32307692307692,23.130769230769236,0.7461538461538463,10.692307692307692
NAM.12_1,NAM,Namibia,Otjozondjupa,Region,78.51428571428572,9.207142857142857,12.464285714285712,0.3285714285714286,13.0
MDG.6_1,MDG,Madagascar,Toliary,Autonomous Province,51.38437499999999,18.474999999999998,30.175,1.3399999999999999,11.21875
CHL.15_1,CHL,Chile,Tarapac?�,Region,49.85833333333333,24.45,25.758333333333336,0.8875000000000001,10.416666666666666
PRY.1_1,PRY,Paraguay,Alto Paraguay,Department,49.36190476190477,20.400000000000002,30.295238095238098,1.11,11.428571428571429
BWA.1_1,BWA,Botswana,Central,District,67.88636363636364,11.98181818181818,20.150000000000002,0.5813636363636364,11.090909090909092
ZWE.7_1,ZWE,Zimbabwe,Masvingo,Province,67.05714285714285,10.842857142857143,22.15,0.5171428571428571,11.642857142857142
BRA.25_1,BRA,Brazil,S?�o Paulo,State,50.77538461538462,14.006153846153845,35.2123076923077,1.420153846153846,12.553846153846154
ZWE.9_1,ZWE,Zimbabwe,Matabeleland South,Province,77.17500000000001,7.393750000000002,15.48125,0.35624999999999996,9.6875
PRY.5_1,PRY,Paraguay,Boquer??n,Department,50.770370370370365,28.551851851851847,20.770370370370372,1.6933333333333334,9.777777777777779
NAM.8_1,NAM,Namibia,Omaheke,Region,92.8,2.7,4.7,0.2,10.0
MDG.3_1,MDG,Madagascar,Fianarantsoa,Autonomous Province,39.21071428571429,16.94285714285714,43.8607142857143,1.8275000000000001,10.75
BOL.9_1,BOL,Bolivia,Tarija,Department,60.063636363636355,16.999999999999996,23.045454545454547,0.8181818181818182,10.090909090909092
BRA.19_1,BRA,Brazil,Rio de Janeiro,State,40.97777777777778,16.255555555555556,42.78888888888889,1.64,11.333333333333334
NAM.2_1,NAM,Namibia,Erongo,Region,50.363157894736844,22.336842105263155,27.41578947368421,0.4889473684210527,15.421052631578947
BWA.5_1,BWA,Botswana,Ghanzi,District,70.8,12.8,16.5,1.15,14.0
BWA.11_1,BWA,Botswana,North-East,District,75.4,7.4,17.2,0.34,9.0
NCL.2_1,NCL,New Caledonia,Nord,Province,40.1,21.5,38.4,1.44,10.0
CHL.2_1,CHL,Chile,Antofagasta,Region,51.7764705882353,25.85,22.394117647058824,0.5488235294117647,9.176470588235293
MOZ.2_1,MOZ,Mozambique,Gaza,Province,52.01428571428572,17.571428571428573,30.457142857142856,1.2214285714285713,10.571428571428571
